Experiment
% Mast Angle, Arm Angle, Background RSSI, Transmission RSSI
-180,0.0,0.0,0.0002165689184901375
-179,0.0,0.0,8.992259142374284e-05
-178,0.0,0.0,9.207569044508033e-05
-177,0.0,0.0,9.618869111518873e-05
-176,0.0,0.0,0.00010109771985495742
-175,0.0,0.0,9.649632603386785e-05
-174,0.0,0.0,9.22883601261998e-05
-173,0.0,0.0,9.522077534081531e-05
-172,0.0,0.0,9.512584604531084e-05
-171,0.0,0.0,8.761612006055538e-05
-170,0.0,0.0,9.660913579195527e-05
-169,0.0,0.0,0.00010210418039792926
-168,0.0,0.0,0.0002551526145854097
-167,0.0,0.0,9.160460654975286e-05
-166,0.0,0.0,9.417294863206384e-05
-165,0.0,0.0,9.883950457442926e-05
-164,0.0,0.0,9.04932810665276e-05
-163,0.0,0.0,9.20131819023633e-05
-162,0.0,0.0,0.00012431554025700258
-161,0.0,0.0,9.54289751741202e-05
-160,0.0,0.0,9.645678811198785e-05
-159,0.0,0.0,0.00010455774494843242
-158,0.0,0.0,9.161298464162078e-05
-157,0.0,0.0,0.00013745126716257803
-156,0.0,0.0,0.00010258734761114532
-155,0.0,0.0,9.832824566746605e-05
-154,0.0,0.0,0.00011092845261409516
-153,0.0,0.0,9.471621431763889e-05
-152,0.0,0.0,0.00011005553695500086
-151,0.0,0.0,0.0001319546300975977
-150,0.0,0.0,9.621639177147369e-05
-149,0.0,0.0,0.00014269203495372504
-148,0.0,0.0,0.00024574749813275075
-147,0.0,0.0,9.930810375893037e-05
-146,0.0,0.0,0.00010707431086524743
-145,0.0,0.0,0.00010153278204384613
-144,0.0,0.0,0.00011312566923092037
-143,0.0,0.0,9.838251835410211e-05
-142,0.0,0.0,9.277498781824619e-05
-141,0.0,0.0,0.00010654134518334677
-140,0.0,0.0,9.603094878655682e-05
-139,0.0,0.0,0.0001250995990027874
-138,0.0,0.0,0.0004721534530769585
-137,0.0,0.0,9.788451972861822e-05
-136,0.0,0.0,0.00011052459452535359
-135,0.0,0.0,0.000116145075160602
-134,0.0,0.0,0.0001165082825127635
-133,0.0,0.0,0.00011230342107676315
-132,0.0,0.0,0.00010648102634125197
-131,0.0,0.0,9.702868817768147e-05
-130,0.0,0.0,0.00010419651334030767
-129,0.0,0.0,0.00010856978253720803
-128,0.0,0.0,0.0001497726865214154
-127,0.0,0.0,0.00010390979245735357
-126,0.0,0.0,9.522726193498956e-05
-125,0.0,0.0,9.333581533221047e-05
-124,0.0,0.0,0.00016208262599498303
