Experiment
% Mast Angle, Arm Angle, Background RSSI, Transmission RSSI
-180,45,0.0,0.0005228014212307277
-179,45,0.0,0.0003620902451422212
-178,45,0.0,0.00034969987936476663
-177,45,0.0,0.00033995464739395876
-176,45,0.0,0.00033497296060918205
-175,45,0.0,0.00034319056096685993
-174,45,0.0,0.00037363633065617003
-173,45,0.0,0.0003782976285945526
-172,45,0.0,0.0003766191694548051
-171,45,0.0,0.00037575380821266643
-170,45,0.0,0.00036804287842863345
-169,45,0.0,0.00038763278967063504
-168,45,0.0,0.0003785379840569767
-167,45,0.0,0.00038998932669302635
-166,45,0.0,0.000382225225804858
-165,45,0.0,0.0003669119318393889
-164,45,0.0,0.0003613041446706854
-163,45,0.0,0.0003559202490057608
-162,45,0.0,0.0003610259492022955
-161,45,0.0,0.0003837238066426131
-160,45,0.0,0.00037793643398402883
-159,45,0.0,0.0003847234057309233
-158,45,0.0,0.00036900485018173516
-157,45,0.0,0.00033741112089488717
-156,45,0.0,0.0003751791789053062
-155,45,0.0,0.0003550442460018066
-154,45,0.0,0.0003749035568649845
-153,45,0.0,0.0003588672149794446
-152,45,0.0,0.0003617001481260098
-151,45,0.0,0.00035292379785649793
-150,45,0.0,0.00035643364039045916
-149,45,0.0,0.00036285628081042314
-148,45,0.0,0.00035345647891691425
-147,45,0.0,0.000365701172491465
-146,45,0.0,0.0003650446299886745
-145,45,0.0,0.0003547759174614698
-144,45,0.0,0.0003673023194028159
-143,45,0.0,0.00036063098646879654
-142,45,0.0,0.00035505921124702716
-141,45,0.0,0.0003671355911473004
-140,45,0.0,0.0003661356943994153
-139,45,0.0,0.00036145131304031095
-138,45,0.0,0.0003878887589902275
-137,45,0.0,0.0003666081863553874
-136,45,0.0,0.00037892255941334314
-135,45,0.0,0.00035682287883306667
-134,45,0.0,0.00036590598670893643
-133,45,0.0,0.0003473175449877131
-132,45,0.0,0.0003624597129279927
-131,45,0.0,0.000385445127182828
-130,45,0.0,0.00044736991376629617
-129,45,0.0,0.00037612183811400467
-128,45,0.0,0.00039120492755235977
-127,45,0.0,0.00039109999908420177
-126,45,0.0,0.00039751101101345867
-125,45,0.0,0.0003852168122591345
-124,45,0.0,0.00038152617331939647
-123,45,0.0,0.00040051381579585694
-122,45,0.0,0.00039100003198530033
-121,45,0.0,0.0004043479920527153
-120,45,0.0,0.0003840189561571856
-119,45,0.0,0.0003993790905676536
-118,45,0.0,0.0004195602141891439
-117,45,0.0,0.00041370589787524843
-116,45,0.0,0.00040764370186340703
-115,45,0.0,0.0004219416391853125
-114,45,0.0,0.0004107091838008209
-113,45,0.0,0.000405471835411046
-112,45,0.0,0.00041192271123233014
-111,45,0.0,0.00044156510110623747
-110,45,0.0,0.00040566266205092726
-109,45,0.0,0.0004092122204740483
-108,45,0.0,0.00041766483431487304
-107,45,0.0,0.0004164780216399735
-106,45,0.0,0.00039290921197100736
-105,45,0.0,0.0004042338260609941
-104,45,0.0,0.00041481167641431514
-103,45,0.0,0.00041294596323608514
-102,45,0.0,0.00040762081242105326
-101,45,0.0,0.00041792991350849166
-100,45,0.0,0.0004281482813014715
-99,45,0.0,0.0004318660928111278
-98,45,0.0,0.00042614855557356345
-97,45,0.0,0.00045495766665369045
-96,45,0.0,0.00044009167164729354
-95,45,0.0,0.00040304831830280006
-94,45,0.0,0.0004036846769564746
-93,45,0.0,0.00041524116734743
-92,45,0.0,0.0004077182863460008
-91,45,0.0,0.00042425944360868507
-90,45,0.0,0.0010829612783025216
-89,45,0.0,0.0010439900312568316
-88,45,0.0,0.0010439943358914428
-87,45,0.0,0.0010790204710292492
-86,45,0.0,0.0010414812944988154
-85,45,0.0,0.0010224879000552429
-84,45,0.0,0.001010373768631303
-83,45,0.0,0.0010537581213516264
-82,45,0.0,0.0010488596163668767
-81,45,0.0,0.0010651276594744142
-80,45,0.0,0.001068633200488884
-79,45,0.0,0.0010159148218947679
-78,45,0.0,0.0010047630120084033
-77,45,0.0,0.0010527100845861355
-76,45,0.0,0.0010467170213021926
-75,45,0.0,0.0010531173128704406
-74,45,0.0,0.001043632914616747
-73,45,0.0,0.0009984352699571061
-72,45,0.0,0.0010223188251735134
-71,45,0.0,0.0010240776370855152
-70,45,0.0,0.001003448950228365
-69,45,0.0,0.001089468748177142
-68,45,0.0,0.0010850948006872441
-67,45,0.0,0.001036122675717168
-66,45,0.0,0.0010442704207300597
-65,45,0.0,0.0010488922970240434
-64,45,0.0,0.0010664598981832121
-63,45,0.0,0.0010723089163657733
-62,45,0.0,0.0010574346131189895
-61,45,0.0,0.0010334182254175608
-60,45,0.0,0.0010901271515577089
-59,45,0.0,0.00108787977820585
-58,45,0.0,0.001066146096774096
-57,45,0.0,0.0010585852721502463
-56,45,0.0,0.0010468628844186969
-55,45,0.0,0.0010136178621985073
-54,45,0.0,0.0010619417570555485
-53,45,0.0,0.00102608245011328
-52,45,0.0,0.0010869995465163057
-51,45,0.0,0.0010458277724102421
-50,45,0.0,0.0010385536614167625
-49,45,0.0,0.0010411677740099193
-48,45,0.0,0.0009988145562853513
-47,45,0.0,0.0010335622572659473
-46,45,0.0,0.0010105329236392764
-45,45,0.0,0.001013798584978789
-44,45,0.0,0.0010505389336392867
-43,45,0.0,0.0010653433042823908
-42,45,0.0,0.0010788646827418196
-41,45,0.0,0.001074298736641491
-40,45,0.0,0.0010601514256196993
-39,45,0.0,0.0010571143600159054
-38,45,0.0,0.0010015289153493911
-37,45,0.0,0.0010833006964147843
-36,45,0.0,0.0011138532455885431
-35,45,0.0,0.0010503082050468684
-34,45,0.0,0.0010597874014951982
-33,45,0.0,0.001053661048100034
-32,45,0.0,0.0010957397021872884
-31,45,0.0,0.0010634319297605143
-30,45,0.0,0.001073900646992177
-29,45,0.0,0.0010400779870090556
-28,45,0.0,0.0010624958371333849
-27,45,0.0,0.001100055989552656
-26,45,0.0,0.0011357969708805362
-25,45,0.0,0.0011055990445091898
-24,45,0.0,0.0011207600298066777
-23,45,0.0,0.0010731621949993501
-22,45,0.0,0.0010862369137966668
-21,45,0.0,0.0010755245340629358
-20,45,0.0,0.0011057680144659725
-19,45,0.0,0.001070995242473914
-18,45,0.0,0.001114019888514485
-17,45,0.0,0.0010966575247953081
-16,45,0.0,0.001109777709738926
-15,45,0.0,0.0010860906460222128
-14,45,0.0,0.0010732489818138496
-13,45,0.0,0.0010986618455975095
-12,45,0.0,0.0011136334973542088
-11,45,0.0,0.0010959527284625484
-10,45,0.0,0.0010982588947447444
-9,45,0.0,0.0010576349456206061
-8,45,0.0,0.0010978909602502797
-7,45,0.0,0.0010697537143776364
-6,45,0.0,0.0010770736968712875
-5,45,0.0,0.0011368360514719714
-4,45,0.0,0.0010980067845896629
-3,45,0.0,0.001094551720742215
-2,45,0.0,0.001111319104376343
-1,45,0.0,0.0010990292946293366
0,45,0.0,0.0014251725958281287
1,45,0.0,0.001350515028425359
2,45,0.0,0.0014107854416990115
3,45,0.0,0.0014592296190674605
4,45,0.0,0.0014013112422983263
5,45,0.0,0.0013787623426013385
6,45,0.0,0.0013540901226818272
7,45,0.0,0.001361469565619116
8,45,0.0,0.0013447739387032031
9,45,0.0,0.0013064820362382842
10,45,0.0,0.00140730867885694
11,45,0.0,0.0013712219937836367
12,45,0.0,0.0013600215877849586
13,45,0.0,0.0013204407495224192
14,45,0.0,0.0013420024949218079
15,45,0.0,0.0013588914090114147
16,45,0.0,0.0013716443857707903
17,45,0.0,0.0013908212736082944
18,45,0.0,0.0014350530142163882
19,45,0.0,0.0014063272681232764
20,45,0.0,0.001438444179318294
21,45,0.0,0.0014133207335781715
22,45,0.0,0.0013993012085621794
23,45,0.0,0.0014215225120005177
24,45,0.0,0.0013934150049266414
25,45,0.0,0.0013882753936051509
26,45,0.0,0.0014397339768666023
27,45,0.0,0.0014107398998707884
28,45,0.0,0.0014034788395276446
29,45,0.0,0.0014404433231972435
30,45,0.0,0.0014604647099692605
31,45,0.0,0.0014754422611708022
32,45,0.0,0.0014337391941744476
33,45,0.0,0.0014475256312611881
34,45,0.0,0.0014050339591739963
35,45,0.0,0.001444311038182626
36,45,0.0,0.0014014386481265558
37,45,0.0,0.0014271316159427032
38,45,0.0,0.001446207607664752
39,45,0.0,0.0014385078519766402
40,45,0.0,0.0014048521228789156
41,45,0.0,0.0013950690542343528
42,45,0.0,0.0014229930627271685
43,45,0.0,0.0013706486647672592
44,45,0.0,0.0014415050917673698
45,45,0.0,0.0014376807251396827
46,45,0.0,0.0014610267231341192
47,45,0.0,0.001444682092742681
48,45,0.0,0.0014978577499825255
49,45,0.0,0.0014577115039757591
50,45,0.0,0.0014200555381272807
51,45,0.0,0.0015033550144833976
52,45,0.0,0.0014656187999953876
53,45,0.0,0.0014216266966515696
54,45,0.0,0.0014248821138129221
55,45,0.0,0.0014448930151015236
56,45,0.0,0.0014200943728707347
57,45,0.0,0.0014062965103587759
58,45,0.0,0.0014012038163073864
59,45,0.0,0.0014434438539996388
60,45,0.0,0.001457579614557605
61,45,0.0,0.001420427416916135
62,45,0.0,0.0014568479205849692
63,45,0.0,0.0014340751431093667
64,45,0.0,0.0014254394322226937
65,45,0.0,0.0013704562120917692
66,45,0.0,0.0013652161448748732
67,45,0.0,0.001358497094054376
68,45,0.0,0.0013688891637822008
69,45,0.0,0.001407703908247721
70,45,0.0,0.0013754145289752982
71,45,0.0,0.0013721074773361856
72,45,0.0,0.0013635617746742734
73,45,0.0,0.001363545652749354
74,45,0.0,0.00142185534915433
75,45,0.0,0.0014235475077611142
76,45,0.0,0.001405207905590979
77,45,0.0,0.001385754710644355
78,45,0.0,0.0013679735311693487
79,45,0.0,0.0013785800573874942
80,45,0.0,0.0014108834152291713
81,45,0.0,0.001353893697112254
82,45,0.0,0.0013799936276560091
83,45,0.0,0.001456465891687542
84,45,0.0,0.0014210551172901859
85,45,0.0,0.0014429966333001797
86,45,0.0,0.0014260998843733496
87,45,0.0,0.0014559275489848986
88,45,0.0,0.0014324133427916583
89,45,0.0,0.0014665719181549974
90,45,0.0,0.0013680168236548038
91,45,0.0,0.0008412756130706886
92,45,0.0,0.0008043743338599451
93,45,0.0,0.0007784457355705876
94,45,0.0,0.0007895949740426875
95,45,0.0,0.0008085175725488071
96,45,0.0,0.0008069401737330603
97,45,0.0,0.0007762087351916671
