Finally read the IEEE 149-2021 standard.
% Mast Angle, Arm Angle, Background RSSI, Transmission RSSI
-180,0.0,0.0,0.006391564105592207
-179,0.0,0.0,0.0063232629880099955
-178,0.0,0.0,0.006208394997309251
-177,0.0,0.0,0.006077098239958623
-176,0.0,0.0,0.005921004650423684
-175,0.0,0.0,0.005794693745941973
-174,0.0,0.0,0.005638964163160809
-173,0.0,0.0,0.005458432264568868
-172,0.0,0.0,0.005261560171626404
-171,0.0,0.0,0.005110431735385429
-170,0.0,0.0,0.00497036934016435
-169,0.0,0.0,0.004763380387710439
-168,0.0,0.0,0.004598247491244321
-167,0.0,0.0,0.004427970703871369
-166,0.0,0.0,0.00426990729199629
-165,0.0,0.0,0.004084769715564867
-164,0.0,0.0,0.0039184654216185555
-163,0.0,0.0,0.0037634301624053304
-162,0.0,0.0,0.003680139046991042
-161,0.0,0.0,0.0035635633283958384
-160,0.0,0.0,0.003475386060227606
-159,0.0,0.0,0.0033619824864380204
-158,0.0,0.0,0.003279549696147714
-157,0.0,0.0,0.0031118487842188183
-156,0.0,0.0,0.002971558366205442
-155,0.0,0.0,0.0028581691875911716
-154,0.0,0.0,0.00276060896675222
-153,0.0,0.0,0.0026580833033636566
-152,0.0,0.0,0.0025688568753113932
-151,0.0,0.0,0.0024849166721400452
-150,0.0,0.0,0.0023655232025660113
-149,0.0,0.0,0.0022428311658558163
-148,0.0,0.0,0.002095940143746135
-147,0.0,0.0,0.0020987727810635425
-146,0.0,0.0,0.0019786666598464626
-145,0.0,0.0,0.001906487081706463
-144,0.0,0.0,0.0017824333008116735
-143,0.0,0.0,0.001757611991392694
-142,0.0,0.0,0.0017297576345873334
-141,0.0,0.0,0.0017005331572899356
-140,0.0,0.0,0.0017088590257746618
-139,0.0,0.0,0.0016592200516471604
-138,0.0,0.0,0.0016065447661854687
-137,0.0,0.0,0.0015918039520107542
-136,0.0,0.0,0.0015941992845827366
-135,0.0,0.0,0.0015928324024002886
-134,0.0,0.0,0.001627145889411556
-133,0.0,0.0,0.0016890030551846612
-132,0.0,0.0,0.0016876552761716285
-131,0.0,0.0,0.0016962118400022353
-130,0.0,0.0,0.0017547936420259744
-129,0.0,0.0,0.0017775462194022063
-128,0.0,0.0,0.0018262661961658282
-127,0.0,0.0,0.0017807884641988872
-126,0.0,0.0,0.001813892058233475
-125,0.0,0.0,0.0018727515040895825
-124,0.0,0.0,0.0018780722544536764
-123,0.0,0.0,0.0018286552225189223
-122,0.0,0.0,0.001841450511105814
-121,0.0,0.0,0.0018399374949613842
-120,0.0,0.0,0.0017819279211167024
-119,0.0,0.0,0.0017908153701374262
-118,0.0,0.0,0.001762829272906766
-117,0.0,0.0,0.0017314069638154714
-116,0.0,0.0,0.0017128070287264973
-115,0.0,0.0,0.0016995036328691037
-114,0.0,0.0,0.0016273648050790387
-113,0.0,0.0,0.0016107875968326914
-112,0.0,0.0,0.0016634068584760286
-111,0.0,0.0,0.0016291171662351014
-110,0.0,0.0,0.0016207409814326709
-109,0.0,0.0,0.0016348172586091681
-108,0.0,0.0,0.0015802141203666447
-107,0.0,0.0,0.0015946721723529937
-106,0.0,0.0,0.0015435969535054076
-105,0.0,0.0,0.001486666266999819
-104,0.0,0.0,0.0014408495655999296
-103,0.0,0.0,0.0014174290253398173
-102,0.0,0.0,0.0014223992253393628
-101,0.0,0.0,0.0013821047907033672
-100,0.0,0.0,0.0013578225965580738
-99,0.0,0.0,0.0013174102565815192
-98,0.0,0.0,0.0013039218501431787
-97,0.0,0.0,0.0012803472267103244
-96,0.0,0.0,0.0012764297094154467
-95,0.0,0.0,0.001265814590805664
-94,0.0,0.0,0.0012880425845489911
