Experiment
% Mast Angle, Arm Angle, Background RSSI, Transmission RSSI
-180,-90,0.0,0.0034278510457251463
-179,-90,0.0,0.003518355781710825
-178,-90,0.0,0.003609766617513665
-177,-90,0.0,0.0037022420615623023
-176,-90,0.0,0.003784765702048126
-175,-90,0.0,0.003872358776758983
-174,-90,0.0,0.003974786664787813
-173,-90,0.0,0.00408807552484539
-172,-90,0.0,0.004196339912004366
-171,-90,0.0,0.004274867862115877
-170,-90,0.0,0.004322285400426888
-169,-90,0.0,0.004389739689780919
-168,-90,0.0,0.0044332250599039445
-167,-90,0.0,0.004446507389002266
-166,-90,0.0,0.004522859884190408
-165,-90,0.0,0.004509897767716178
-164,-90,0.0,0.004499553620995891
-163,-90,0.0,0.004454655215168958
-162,-90,0.0,0.004423954858224723
-161,-90,0.0,0.004320462847965104
-160,-90,0.0,0.004280872535149915
-159,-90,0.0,0.004203331026407234
-158,-90,0.0,0.0040973136049356155
-157,-90,0.0,0.0039847637361807315
-156,-90,0.0,0.003858082654116431
-155,-90,0.0,0.0037188947157004736
-154,-90,0.0,0.0035564569703396068
-153,-90,0.0,0.0033773015532457674
-152,-90,0.0,0.003209969590365645
-151,-90,0.0,0.0030333834821414875
-150,-90,0.0,0.0028377697025617258
-149,-90,0.0,0.002678527962163067
-148,-90,0.0,0.0024962581236803076
-147,-90,0.0,0.002232366340773258
-146,-90,0.0,0.002066466196375714
-145,-90,0.0,0.00187406678478483
-144,-90,0.0,0.0017377397338248673
-143,-90,0.0,0.0015052294892501446
-142,-90,0.0,0.0012861029131920085
-141,-90,0.0,0.00123758609291617
-140,-90,0.0,0.0011414788314340445
-139,-90,0.0,0.001073906056178989
-138,-90,0.0,0.0010200939218245836
-137,-90,0.0,0.0010095843577183656
-136,-90,0.0,0.0009695940082699748
-135,-90,0.0,0.0009610580643676842
-134,-90,0.0,0.0009548951445302465
-133,-90,0.0,0.0009409308784156764
-132,-90,0.0,0.000931580519841972
-131,-90,0.0,0.0009426549216983083
-130,-90,0.0,0.0009206672540966221
-129,-90,0.0,0.0009140384313625439
-128,-90,0.0,0.0008886491496653856
-127,-90,0.0,0.0008807564567245465
-126,-90,0.0,0.0009118789894636191
-125,-90,0.0,0.0008588727636685277
-124,-90,0.0,0.0007884198091296717
-123,-90,0.0,0.0007512584104398891
-122,-90,0.0,0.0007273244679227371
-121,-90,0.0,0.0006481370235266407
-120,-90,0.0,0.0006472813830486296
-119,-90,0.0,0.0006072213707333654
-118,-90,0.0,0.0005800510592440537
-117,-90,0.0,0.0005429058723929015
-116,-90,0.0,0.0005274544457166955
-115,-90,0.0,0.0005363711772193249
-114,-90,0.0,0.0005984589441592641
-113,-90,0.0,0.00064550609889021
-112,-90,0.0,0.0006928494861904266
-111,-90,0.0,0.0007247602710151827
-110,-90,0.0,0.000752395448661798
-109,-90,0.0,0.0008419921380292505
-108,-90,0.0,0.0009806636816528252
-107,-90,0.0,0.0010040678073991467
-106,-90,0.0,0.0010513262623578572
-105,-90,0.0,0.0011434837461462145
-104,-90,0.0,0.001188214059160836
-103,-90,0.0,0.001238356168132319
-102,-90,0.0,0.0013349616590324733
-101,-90,0.0,0.0014513747046109111
-100,-90,0.0,0.001472793586640163
-99,-90,0.0,0.0015674708313860102
-98,-90,0.0,0.0016151700946147713
-97,-90,0.0,0.001654601945468576
-96,-90,0.0,0.0017443437839189627
-95,-90,0.0,0.0018073083816380988
-94,-90,0.0,0.0018779666205042994
-93,-90,0.0,0.001965702381320157
-92,-90,0.0,0.002005148656744052
-91,-90,0.0,0.0021214040412192224
-90,-90,0.0,0.002189003162871156
-89,-90,0.0,0.002259757253806891
-88,-90,0.0,0.0023074538343071513
-87,-90,0.0,0.00237098752594431
-86,-90,0.0,0.0024566912790677307
-85,-90,0.0,0.0025129383317116266
-84,-90,0.0,0.0025598761951061756
-83,-90,0.0,0.002620960573938757
-82,-90,0.0,0.0026996073709351243
-81,-90,0.0,0.0027806498827302947
-80,-90,0.0,0.0028606129835090713
-79,-90,0.0,0.0029036461154465804
-78,-90,0.0,0.0029764963458133284
-77,-90,0.0,0.003047272442255565
-76,-90,0.0,0.003108433492479595
-75,-90,0.0,0.0031680641527294354
-74,-90,0.0,0.0032420915754959173
-73,-90,0.0,0.0032990052927291107
-72,-90,0.0,0.003366588955721754
-71,-90,0.0,0.003428323320079235
-70,-90,0.0,0.0034897132801124686
-69,-90,0.0,0.0035489377272613443
-68,-90,0.0,0.0035946373681322807
-67,-90,0.0,0.0036300972367600544
-66,-90,0.0,0.003661616005100626
-65,-90,0.0,0.003701899870828421
-64,-90,0.0,0.0037311509114516532
-63,-90,0.0,0.0037602720383357532
-62,-90,0.0,0.0038002854308649358
-61,-90,0.0,0.0038060025187717276
-60,-90,0.0,0.003797220866322837
-59,-90,0.0,0.0037765279409196564
-58,-90,0.0,0.00374581952987338
-57,-90,0.0,0.0037126052449017433
-56,-90,0.0,0.003664181627286478
-55,-90,0.0,0.0035968053594950763
-54,-90,0.0,0.0035216914816442145
-53,-90,0.0,0.0034452236771871023
-52,-90,0.0,0.0033475150958362076
-51,-90,0.0,0.0032384398275917925
-50,-90,0.0,0.0031264583890250478
-49,-90,0.0,0.0030030965729401955
-48,-90,0.0,0.0028773894238550406
-47,-90,0.0,0.0027287459738631063
-46,-90,0.0,0.0025915101417937968
-45,-90,0.0,0.0024137468445151714
-44,-90,0.0,0.0022399206852911093
-43,-90,0.0,0.0020208326664695013
-42,-90,0.0,0.0018033132918038267
-41,-90,0.0,0.0016189178186653492
-40,-90,0.0,0.0014107723158473286
-39,-90,0.0,0.0013173552084433655
-38,-90,0.0,0.0011698855965386421
-37,-90,0.0,0.001162897738624266
-36,-90,0.0,0.0012529705066245671
-35,-90,0.0,0.0013430887801738236
-34,-90,0.0,0.0014905407481763647
-33,-90,0.0,0.0016800194642593725
-32,-90,0.0,0.0018231767714269908
-31,-90,0.0,0.0020535485102850374
-30,-90,0.0,0.002244907480329565
-29,-90,0.0,0.0024247417683658703
-28,-90,0.0,0.00259703935644524
-27,-90,0.0,0.0027231324033545144
-26,-90,0.0,0.0028219140465073757
-25,-90,0.0,0.0029356732124359766
-24,-90,0.0,0.003041056033621482
-23,-90,0.0,0.00310869067849048
-22,-90,0.0,0.003179860692990384
-21,-90,0.0,0.0032328827368746102
-20,-90,0.0,0.0032741724178078804
-19,-90,0.0,0.0033037951215115595
-18,-90,0.0,0.003304802345969656
-17,-90,0.0,0.003294460282973831
-16,-90,0.0,0.0032653676462104965
-15,-90,0.0,0.0032243389311848005
-14,-90,0.0,0.0031638755981769867
-13,-90,0.0,0.003084184884194521
-12,-90,0.0,0.0030103805041173794
-11,-90,0.0,0.0029229843182733087
-10,-90,0.0,0.002811832773645416
-9,-90,0.0,0.0027308423061574807
-8,-90,0.0,0.0026507833003423936
-7,-90,0.0,0.002484864753882924
-6,-90,0.0,0.0023485090479979194
-5,-90,0.0,0.0022046050055353574
-4,-90,0.0,0.0020959285970946866
-3,-90,0.0,0.0019349282870052573
-2,-90,0.0,0.0017874527923914926
-1,-90,0.0,0.0016699492176932818
0,-90,0.0,0.0015498458367665365
1,-90,0.0,0.0014293656500881343
2,-90,0.0,0.001372475007933292
3,-90,0.0,0.00132102206306848
4,-90,0.0,0.001278187840992515
5,-90,0.0,0.0012482020026909307
6,-90,0.0,0.0012087009139909442
7,-90,0.0,0.0012136347922336568
8,-90,0.0,0.0012399343993085446
9,-90,0.0,0.0012746608126105146
10,-90,0.0,0.0012776412666827739
11,-90,0.0,0.001339015520092715
12,-90,0.0,0.0013836511165434859
13,-90,0.0,0.0014868920086585334
14,-90,0.0,0.0015916507900432522
15,-90,0.0,0.0017071052543015208
16,-90,0.0,0.0017752084362469651
17,-90,0.0,0.0018766213629116404
18,-90,0.0,0.001994411790446513
19,-90,0.0,0.002143947115356429
20,-90,0.0,0.002260208865979762
21,-90,0.0,0.0023624428668107727
22,-90,0.0,0.002487435937377717
23,-90,0.0,0.0025854373469875683
24,-90,0.0,0.0026755462864857427
25,-90,0.0,0.0027587922044805136
26,-90,0.0,0.002844713147320544
27,-90,0.0,0.002925956782314687
28,-90,0.0,0.0030037383498493163
29,-90,0.0,0.00305438016645479
30,-90,0.0,0.003078792938697806
31,-90,0.0,0.0030973236042021656
32,-90,0.0,0.0031138798046871302
33,-90,0.0,0.003117121983011857
34,-90,0.0,0.0031085850194999183
35,-90,0.0,0.003066592403824896
36,-90,0.0,0.003053719899929123
37,-90,0.0,0.0030060985393819905
38,-90,0.0,0.0029456866451850333
39,-90,0.0,0.002871270237828472
40,-90,0.0,0.0027900467820523214
41,-90,0.0,0.0027170756792766993
42,-90,0.0,0.0026231488212604065
43,-90,0.0,0.0024999675378111147
44,-90,0.0,0.0023593726203295605
45,-90,0.0,0.0022340184979293565
46,-90,0.0,0.0021078375319337275
47,-90,0.0,0.0019570912455897263
48,-90,0.0,0.0018509710953159308
49,-90,0.0,0.0016684337881320253
50,-90,0.0,0.001525637342539637
51,-90,0.0,0.0013564019474920426
52,-90,0.0,0.0012454982301672271
53,-90,0.0,0.001095709858282256
54,-90,0.0,0.0009653489029863869
55,-90,0.0,0.0008329925134066186
56,-90,0.0,0.0007200739059387395
57,-90,0.0,0.0006631919946517071
58,-90,0.0,0.0006238870687964778
59,-90,0.0,0.0006516485760811913
60,-90,0.0,0.0007035504877093752
61,-90,0.0,0.0007915872505818107
62,-90,0.0,0.0008963313469894273
63,-90,0.0,0.0010099476658454697
64,-90,0.0,0.0011188099537302902
65,-90,0.0,0.0012514683172753283
66,-90,0.0,0.001306989215892552
67,-90,0.0,0.0014539990808190117
68,-90,0.0,0.001521230535910179
69,-90,0.0,0.001629112663892795
70,-90,0.0,0.0016686803651925026
71,-90,0.0,0.0017988356898253012
72,-90,0.0,0.0018813413531018066
73,-90,0.0,0.001947466223949769
74,-90,0.0,0.001984856920572249
75,-90,0.0,0.002076963731778749
76,-90,0.0,0.0021682514731829697
77,-90,0.0,0.0022257763507740496
78,-90,0.0,0.002289575380529123
79,-90,0.0,0.002333753083906728
80,-90,0.0,0.0023767876322946975
81,-90,0.0,0.002440566519143479
82,-90,0.0,0.002515738116796248
83,-90,0.0,0.0026021556920126166
84,-90,0.0,0.0026696116824205672
85,-90,0.0,0.0027250197700074306
86,-90,0.0,0.0027935135827255333
87,-90,0.0,0.0028695120259803757
88,-90,0.0,0.00293662388529134
89,-90,0.0,0.0030076554322302764
90,-90,0.0,0.003085497333244557
91,-90,0.0,0.003165125061268211
92,-90,0.0,0.0032478080436626703
93,-90,0.0,0.003337512573780537
94,-90,0.0,0.0034147294069546115
95,-90,0.0,0.003509313796898892
96,-90,0.0,0.0035889372751607045
97,-90,0.0,0.0036696144123917465
98,-90,0.0,0.0037455570779233536
99,-90,0.0,0.0038393602853040464
100,-90,0.0,0.003921724471529982
101,-90,0.0,0.00400367482876535
102,-90,0.0,0.004091419300523695
103,-90,0.0,0.004169948165106143
104,-90,0.0,0.004281169990982121
105,-90,0.0,0.004342458361288336
106,-90,0.0,0.0044233114728604965
107,-90,0.0,0.004508788476383747
108,-90,0.0,0.004555237468025367
109,-90,0.0,0.004614813462963527
110,-90,0.0,0.004659423356605471
111,-90,0.0,0.004706158030042992
112,-90,0.0,0.004766271021119734
113,-90,0.0,0.004821990601167308
114,-90,0.0,0.004823001280288265
115,-90,0.0,0.0048461993208933525
116,-90,0.0,0.004841226348386851
117,-90,0.0,0.004855153730376816
118,-90,0.0,0.004869247453743254
119,-90,0.0,0.004831316617732046
120,-90,0.0,0.004809993054321384
121,-90,0.0,0.00477212257904249
122,-90,0.0,0.004805306782240813
123,-90,0.0,0.004775598122658734
