Experiment
% Mast Angle, Arm Angle, Background RSSI, Transmission RSSI
-180.0,90.0,0.0,0.023001569490656102
-180.0,87.97752808988764,0.0,0.022901407227098075
-180.0,85.95505617977528,0.0,0.022657184874453375
-180.0,83.93258426966293,0.0,0.022357429443934707
-180.0,81.91011235955057,0.0,0.022127913211325952
-180.0,79.88764044943821,0.0,0.02186890202560955
-180.0,77.86516853932585,0.0,0.02160008609545886
-180.0,75.84269662921348,0.0,0.02131522650561739
-180.0,73.82022471910112,0.0,0.02104472597526118
-180.0,71.79775280898876,0.0,0.02083288533992865
-180.0,69.7752808988764,0.0,0.020502473417462093
-180.0,67.75280898876404,0.0,0.020227043400351096
-180.0,65.73033707865169,0.0,0.01996033097894338
-180.0,63.70786516853933,0.0,0.019716320126306437
-180.0,61.68539325842697,0.0,0.019389011617466444
-180.0,59.662921348314605,0.0,0.019206319354414848
-180.0,57.640449438202246,0.0,0.01896221020706784
-180.0,55.61797752808989,0.0,0.018705722529378185
-180.0,53.59550561797753,0.0,0.01850791073966445
-180.0,51.573033707865164,0.0,0.018280768997491113
-180.0,49.550561797752806,0.0,0.01802936074902805
-180.0,47.52808988764045,0.0,0.017891745972363513
-180.0,45.50561797752809,0.0,0.017531388561625755
-180.0,43.48314606741573,0.0,0.017465013262130274
-180.0,41.46067415730337,0.0,0.017210489203119312
-180.0,39.43820224719101,0.0,0.01711848538698887
-180.0,37.41573033707865,0.0,0.01683779363933735
-180.0,35.39325842696629,0.0,0.01675463241264074
-180.0,33.37078651685393,0.0,0.016639402060450337
-180.0,31.348314606741575,0.0,0.01654724609579246
-180.0,29.32584269662921,0.0,0.016420506446756473
-180.0,27.30337078651685,0.0,0.01631672221695991
-180.0,25.280898876404493,0.0,0.01629496257595796
-180.0,23.258426966292134,0.0,0.016222171715363647
-180.0,21.235955056179776,0.0,0.016272219268799928
-180.0,19.213483146067418,0.0,0.016218121973076875
-180.0,17.19101123595506,0.0,0.01615965591706338
-180.0,15.168539325842701,0.0,0.016089177636443765
-180.0,13.146067415730329,0.0,0.016106551034526045
-180.0,11.12359550561797,0.0,0.016170587698981196
-180.0,9.101123595505612,0.0,0.016225763162301732
-180.0,7.078651685393254,0.0,0.016309523208532867
-180.0,5.056179775280896,0.0,0.01621446077239576
-180.0,3.0337078651685374,0.0,0.016266331413025834
-180.0,1.0112359550561791,0.0,0.01632496075176389
-180.0,-1.0112359550561791,0.0,0.01635544387259493
-180.0,-3.0337078651685374,0.0,0.016370363671044327
-180.0,-5.056179775280896,0.0,0.016375441151766236
-180.0,-7.078651685393254,0.0,0.016379498783630125
-180.0,-9.101123595505626,0.0,0.016341562744934857
-180.0,-11.123595505617985,0.0,0.016295992158233807
-180.0,-13.146067415730343,0.0,0.01624832242958448
-180.0,-15.168539325842701,0.0,0.01609553042191719
-180.0,-17.19101123595506,0.0,0.01597163139835755
-180.0,-19.213483146067418,0.0,0.015851519111910316
-180.0,-21.235955056179776,0.0,0.015736920877548338
-180.0,-23.258426966292134,0.0,0.015591024353244349
-180.0,-25.280898876404493,0.0,0.015433062648596046
-180.0,-27.30337078651685,0.0,0.015253025003156503
-180.0,-29.325842696629223,0.0,0.015061705998542898
-180.0,-31.34831460674158,0.0,0.014834932205114332
-180.0,-33.37078651685394,0.0,0.014597296387477508
-180.0,-35.3932584269663,0.0,0.014331333656794492
-180.0,-37.41573033707866,0.0,0.014026782320759157
-180.0,-39.438202247191015,0.0,0.013719043240058832
-180.0,-41.46067415730337,0.0,0.013374218305705125
-180.0,-43.48314606741573,0.0,0.013022207956730683
-180.0,-45.50561797752809,0.0,0.012637848208318767
-180.0,-47.52808988764045,0.0,0.01222417305494672
-180.0,-49.550561797752806,0.0,0.01179394210984066
-180.0,-51.573033707865164,0.0,0.01131494595480572
-180.0,-53.59550561797752,0.0,0.010835076896228223
-180.0,-55.61797752808988,0.0,0.01030712061315652
-180.0,-57.64044943820224,0.0,0.009727299483956507
-180.0,-59.6629213483146,0.0,0.00906216965998519
-180.0,-61.685393258426984,0.0,0.008240185058925932
-180.0,-63.70786516853934,0.0,0.007616849623179144
-180.0,-65.7303370786517,0.0,0.006913226405002685
-180.0,-67.75280898876406,0.0,0.0061482736375938745
-180.0,-69.77528089887642,0.0,0.005390939286132625
-180.0,-71.79775280898878,0.0,0.004630069203454967
-180.0,-73.82022471910113,0.0,0.003989359397634601
-180.0,-75.84269662921349,0.0,0.0033921986223084204
-180.0,-77.86516853932585,0.0,0.0028073588543817214
-180.0,-79.88764044943821,0.0,0.0021744348418850055
-180.0,-81.91011235955057,0.0,0.0014789981610707755
-180.0,-83.93258426966293,0.0,0.00085439012098654
-180.0,-85.95505617977528,0.0,0.0006219821090594487
-180.0,-87.97752808988764,0.0,0.0011502235939333336
-180.0,-90.0,0.0,0.0018039565053889618
